ProductID,ProductName,Category,UnitPrice,StockQuantityUnits,StoreSection
2000,Electronics-Signal,Electronics,969.31,39.0,Warehouse
2001,Electronics-Boost,Electronics,412.35,712.0,Back-Store
2002,Office-Family,Office,866.0,473.0,Warehouse
2004,Office-Where,Office,927.25,464.0,Endcap
2005,Office-Huge,Office,428.78,510.0,Endcap
2006,Office-Class,Office,198.0,19.0,Endcap
2007,Clothing-Over,Clothing,583.39,442.0,Endcap
2008,Electronics-Skin,Electronics,66.59,381.0,Endcap
2009,Office-Raise,Office,66.31,560.0,Online-Only
2010,Electronics-Themselves,Electronics,77.84,403.0,Back-Store
2011,Electronics-Religious,Electronics,409.74,59.0,Front-Store
2012,Clothing-Artist,Clothing,623.19,127.0,Online-Only
2013,Office-Cultural,Office,935.36,157.0,Front-Store
2014,Clothing-Eat,Clothing,246.3,164.0,Endcap
2016,Home-He,Home,323.02,790.0,Online-Only
2017,Electronics-Feeling,Electronics,463.7,611.0,Endcap
2018,Electronics-Nature,Electronics,542.26,278.0,Endcap
2019,Home-History,Home,933.93,186.0,Online-Only
2020,Electronics-Share,Electronics,375.83,65.0,Front-Store
2021,Clothing-Skill,Clothing,835.41,593.0,Front-Store
2022,Home-Economy,Home,671.18,191.0,Front-Store
2023,Home-Yeah,Home,939.54,169.0,Warehouse
2024,Clothing-Paper,Clothing,124.27,281.0,Front-Store
2025,Electronics-Assume,Electronics,279.62,534.0,Front-Store
2026,Clothing-Use,Clothing,211.56,105.0,Endcap
2027,Home-Purpose,Home,258.61,669.0,Front-Store
2028,Electronics-Take,Electronics,637.94,96.0,Endcap
2029,Home-Yourself,Home,13.51,468.0,Warehouse
2030,Clothing-First,Clothing,169.97,338.0,Endcap
2031,Office-Develop,Office,565.3,680.0,Online-Only
2032,Electronics-There,Electronics,945.6,170.0,Back-Store
2033,Clothing-Argue,Clothing,836.25,82.0,Warehouse
2034,Clothing-Feel,Clothing,136.17,51.0,Endcap
2035,Home-According,Home,899.99,274.0,Warehouse
2036,Electronics-Candidate,Electronics,217.98,745.0,Back-Store
2037,Clothing-Meeting,Clothing,360.14,688.0,Endcap
2038,Office-Soon,Office,926.51,72.0,Endcap
2039,Clothing-Need,Clothing,976.44,678.0,Front-Store
2040,Clothing-Determine,Clothing,34.54,304.0,Online-Only
2041,Home-Assume,Home,804.21,797.0,Warehouse
2042,Clothing-Lawyer,Clothing,167.61,732.0,Online-Only
2043,Electronics-Practice,Electronics,873.45,42.0,Online-Only
2044,Office-Society,Office,207.58,424.0,Endcap
2045,Office-Next,Office,312.14,792.0,Front-Store
2046,Clothing-Worry,Clothing,33.43,366.0,Back-Store
2047,Clothing-Hair,Clothing,334.98,660.0,Front-Store
2048,Electronics-Candidate,Electronics,357.63,680.0,Back-Store
2049,Office-Easy,Office,939.84,587.0,Warehouse
2051,Home-Century,Home,117.32,434.0,Online-Only
2052,Office-Year,Office,731.26,601.0,Front-Store
2053,Home-Ground,Home,610.15,150.0,Front-Store
2054,Electronics-Above,Electronics,900.51,108.0,Front-Store
2055,Clothing-Politics,Clothing,53.94,129.0,Front-Store
2056,Office-About,Office,524.72,791.0,Warehouse
2057,Clothing-Identify,Clothing,436.98,121.0,Endcap
2058,Home-Wear,Home,666.75,510.0,Warehouse
2059,Electronics-Clear,Electronics,512.05,772.0,Online-Only
2060,Office-Term,Office,408.38,348.0,Online-Only
2061,Home-Quite,Home,199.92,89.0,Front-Store
2062,Office-Receive,Office,619.36,95.0,Back-Store
2063,Home-Good,Home,552.46,688.0,Online-Only
2064,Electronics-Stop,Electronics,294.04,198.0,Endcap
2065,Office-Animal,Office,470.34,413.0,Warehouse
2066,Office-Occur,Office,516.06,608.0,Endcap
2067,Clothing-Remain,Clothing,290.95,418.0,Warehouse
2068,Home-Read,Home,820.24,407.0,Warehouse
2069,Clothing-Garden,Clothing,232.39,53.0,Back-Store
2070,Clothing-About,Clothing,34.18,550.0,Back-Store
2071,Clothing-Success,Clothing,615.16,192.0,Front-Store
2072,Electronics-Become,Electronics,420.3,685.0,Back-Store
2073,Clothing-Executive,Clothing,499.43,307.0,Back-Store
2074,Clothing-Strong,Clothing,659.5,353.0,Back-Store
2075,Electronics-Letter,Electronics,780.64,795.0,Back-Store
2076,Clothing-Affect,Clothing,806.07,392.0,Online-Only
2077,Office-Ball,Office,561.83,230.0,Front-Store
2078,Electronics-Film,Electronics,142.01,469.0,Endcap
2079,Office-Who,Office,950.54,62.0,Front-Store
2080,Office-Doctor,Office,832.26,27.0,Front-Store
2081,Office-Light,Office,746.22,558.0,Endcap
