TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,DiscountPercent,PaymentType
1,2025-01-09,1020,2023,401,0.0,643.02,12.3,GiftCard
2,2024-07-10,1034,2091,404,2.0,529.24,21.0,CreditCard
3,2025-03-22,1087,2035,403,3.0,4313.72,5.3,DebitCard
4,2024-12-27,1186,2015,404,,1275.85,8.7,DebitCard
5,2025-04-21,1049,2005,402,0.0,1739.64,3.5,CreditCard
6,2024-10-30,1093,2054,402,0.0,1270.12,3.0,GiftCard
7,2025-02-20,1005,2097,402,0.0,644.45,20.7,Cash
8,2024-10-05,1054,2072,403,3.0,1833.37,20.8,PayPal
10,2024-08-30,1130,2096,401,1.0,1594.55,10.7,Cash
11,2024-11-11,1005,2059,403,0.0,273.38,25.2,GiftCard
12,2025-04-21,1196,2014,403,3.0,0.0,4.8,GiftCard
13,2025-02-16,1128,2064,401,2.0,1039.94,2.1,CreditCard
14,2024-08-22,1041,2099,401,3.0,1861.74,8.1,Cash
15,2025-04-19,1078,2035,401,3.0,4900.93,3.2,Cash
16,2024-12-11,1032,2021,403,3.0,1861.38,1.1,PayPal
17,2025-03-02,1182,2040,404,3.0,41.46,2.9,PayPal
18,2024-10-14,1058,2000,401,0.0,1815.57,27.5,DebitCard
19,2025-04-12,1071,2091,402,3.0,2628.38,3.9,DebitCard
20,2024-11-07,1005,2052,404,0.0,1969.12,23.3,CreditCard
21,2024-07-12,1086,2013,402,3.0,1325.7,20.2,PayPal
22,2024-11-22,1019,2070,401,,127.04,21.3,Cash
23,2025-05-21,1060,2091,404,3.0,1240.87,11.1,PayPal
24,2024-06-01,1116,2097,404,2.0,763.17,18.9,GiftCard
25,2025-02-22,1089,2039,404,1.0,2785.23,24.1,DebitCard
26,2025-04-09,1066,2030,404,1.0,127.5,7.0,PayPal
27,2024-07-05,1144,2033,402,2.0,821.78,29.8,Cash
28,2025-01-24,1080,2009,401,0.0,39.84,18.5,CreditCard
29,2024-09-17,1017,2047,403,2.0,1975.1,8.3,CreditCard
30,2025-01-16,1020,2013,402,0.0,1199.52,6.7,CreditCard
32,2024-09-21,1116,2033,402,3.0,268.15,19.4,GiftCard
33,2025-05-13,1038,2047,402,0.0,1803.01,8.5,Cash
34,2025-03-19,1091,2035,401,3.0,3872.65,16.9,PayPal
35,2025-05-06,1116,2022,404,,697.76,3.3,Cash
36,2025-05-08,1188,2034,402,0.0,125.51,3.4,DebitCard
37,2024-11-25,1032,2029,402,,55.96,18.2,CreditCard
38,2025-04-13,1071,2065,404,2.0,274.92,30.0,CreditCard
39,2025-05-22,1020,2039,404,2.0,4929.06,20.3,PayPal
40,2024-07-19,1048,2079,401,1.0,814.88,3.7,DebitCard
41,2025-01-21,1080,2015,403,3.0,1409.56,28.0,CreditCard
42,2024-12-15,1005,2022,403,0.0,459.86,18.6,Cash
43,2025-03-15,1082,2056,402,1.0,603.38,27.6,CreditCard
44,2025-01-21,1023,2096,402,1.0,337.34,8.2,CreditCard
45,2024-06-21,1156,2009,404,1.0,63.76,13.1,DebitCard
46,2024-11-05,1034,2098,401,1.0,1918.03,20.6,DebitCard
47,2024-12-07,1071,2015,404,3.0,1976.39,25.7,CreditCard
48,2024-12-26,1113,2092,404,3.0,1500.13,8.4,Cash
49,2024-11-26,1063,2035,404,2.0,3710.95,29.2,GiftCard
50,2024-09-05,1138,2023,402,1.0,789.03,22.5,GiftCard
51,2024-11-07,1106,2079,404,0.0,3945.18,9.9,PayPal
52,2024-10-30,1089,2079,404,1.0,1728.21,2.0,PayPal
53,2024-11-29,1171,2051,402,1.0,1091.54,9.0,PayPal
54,2025-04-29,1169,2079,402,1.0,2205.97,9.1,PayPal
55,2024-08-27,1194,2035,404,0.0,3870.61,2.2,Cash
56,2024-06-22,1057,2099,401,1.0,89.74,4.0,DebitCard
57,2024-08-03,1066,2027,404,2.0,1234.13,19.7,CreditCard
58,2025-02-28,1116,2013,401,3.0,3717.57,27.8,PayPal
59,2024-07-03,1160,2041,401,0.0,2427.7,19.5,PayPal
60,2024-10-26,1087,2079,404,2.0,4229.18,2.5,GiftCard
61,2025-02-09,1187,2083,403,3.0,1660.18,23.1,CreditCard
62,2024-12-25,1062,2011,403,1.0,1161.21,22.4,GiftCard
63,2025-01-23,1126,2023,404,2.0,4461.44,24.8,DebitCard
64,2025-02-07,1002,2024,401,3.0,1528.42,1.0,DebitCard
65,2025-02-02,1125,2002,401,3.0,647.1,16.8,CreditCard
66,2024-12-21,1135,2070,403,3.0,45.2,15.1,PayPal
67,2024-07-20,1066,2097,402,3.0,3153.14,20.8,PayPal
68,2025-03-05,1025,2037,402,2.0,1091.56,7.5,DebitCard
69,2024-09-20,1141,2023,404,0.0,2612.29,27.8,Cash
70,2024-11-16,1034,2091,401,3.0,3096.6,15.8,Cash
71,2025-01-31,1020,2035,401,3.0,4058.33,29.0,PayPal
72,2024-09-01,1115,2038,404,0.0,1493.17,4.4,CreditCard
73,2025-05-14,1071,2019,402,0.0,2338.33,2.4,PayPal
74,2025-02-01,1008,2041,404,,1690.5,28.1,PayPal
75,2025-03-16,1050,2069,402,2.0,189.25,11.5,GiftCard
76,2024-08-09,1191,2036,404,2.0,1888.22,13.5,DebitCard
77,2024-12-03,1020,2055,403,0.0,1925.73,4.7,DebitCard
78,2025-04-03,1005,2086,403,1.0,1320.44,22.1,CreditCard
79,2025-05-02,1005,2062,401,3.0,1356.76,10.0,CreditCard
80,2025-04-11,1177,2084,404,0.0,663.31,16.1,DebitCard
81,2024-10-09,1103,2000,404,1.0,1264.14,18.2,DebitCard
82,2024-12-02,1013,2097,402,3.0,2681.2,5.6,CreditCard
83,2024-06-13,1061,2039,401,0.0,4286.33,2.3,CreditCard
84,2024-07-18,1165,2063,403,2.0,990.87,11.7,GiftCard
85,2024-11-25,1037,2076,402,2.0,1716.1,1.5,Cash
86,2024-10-15,1068,2036,403,3.0,920.77,12.1,Cash
87,2024-11-29,1195,2058,403,1.0,505.45,27.6,DebitCard
88,2025-03-11,1032,2048,404,1.0,122.19,20.4,CreditCard
89,2024-12-03,1025,2056,401,3.0,331.1,9.7,GiftCard
90,2025-04-16,1019,2033,403,3.0,1710.94,28.1,GiftCard
92,2025-01-31,1058,2055,401,0.0,1403.3,1.0,DebitCard
93,2025-04-28,1034,2054,404,3.0,4066.34,3.5,CreditCard
94,2024-08-10,1005,2030,404,1.0,1293.91,5.0,DebitCard
95,2024-11-22,1119,2086,402,,1975.92,16.9,DebitCard
96,2024-09-30,1176,2041,402,3.0,2216.14,26.9,Cash
97,2024-10-22,1179,2079,403,,4002.4,26.6,Cash
98,2025-05-23,1190,2036,402,2.0,420.76,7.4,Cash
99,2024-09-11,1196,2017,401,0.0,909.61,28.9,Cash
100,2024-12-21,1023,2041,404,1.0,4444.07,7.9,PayPal
101,2024-10-25,1069,2032,404,2.0,710.49,23.0,DebitCard
102,2024-07-19,1036,2028,404,2.0,819.42,19.8,DebitCard
103,2024-09-16,1089,2086,403,2.0,505.95,14.4,Cash
104,2024-06-11,1143,2070,402,3.0,52.31,13.5,PayPal
105,2024-11-07,1034,2046,401,1.0,61.94,14.2,Cash
106,2025-05-15,1138,2095,402,0.0,1250.52,20.7,PayPal
107,2025-05-10,1176,2056,404,2.0,1387.08,14.9,PayPal
108,2024-12-13,1091,2041,402,3.0,1454.48,14.4,CreditCard
109,2025-01-09,1012,2031,402,1.0,1542.06,24.1,Cash
110,2024-08-24,1071,2029,401,1.0,85.63,17.5,Cash
111,2025-03-20,1034,2054,402,0.0,735.8,25.1,PayPal
112,2025-02-25,1190,2091,403,0.0,1496.97,26.8,DebitCard
113,2024-12-30,1168,2058,401,,833.15,10.3,Cash
114,2025-01-31,1113,2019,403,0.0,3309.43,6.8,PayPal
115,2024-12-23,1097,2067,403,3.0,1418.47,9.2,Cash
116,2025-04-09,1196,2027,404,1.0,1663.47,16.2,PayPal
117,2024-11-04,1080,2085,403,1.0,974.82,2.9,DebitCard
118,2024-07-09,1005,2054,402,2.0,2348.64,24.1,Cash
119,2025-04-17,1108,2092,401,2.0,1176.94,0.6,DebitCard
120,2024-08-27,1057,2044,403,2.0,1624.08,19.9,Cash
121,2025-04-06,1159,2082,401,2.0,582.88,19.8,Cash
122,2025-03-06,1089,2023,404,,4873.15,13.3,CreditCard
123,2024-07-09,1096,2043,402,2.0,1156.81,17.2,CreditCard
124,2024-07-06,1116,2006,401,3.0,911.99,8.8,DebitCard
125,2024-09-20,1029,2009,403,3.0,53.18,22.7,Cash
126,2024-08-30,1014,2041,402,2.0,1039.93,25.0,CreditCard
127,2024-12-02,1033,2090,402,2.0,1730.44,28.3,DebitCard
128,2024-06-19,1066,2073,404,3.0,839.81,1.8,PayPal
129,2025-05-20,1032,2046,401,0.0,92.44,1.5,CreditCard
130,2024-12-08,1079,2028,403,0.0,272.35,9.3,CreditCard
131,2024-12-06,1089,2082,402,1.0,388.32,4.9,Cash
132,2024-08-03,1019,2091,404,3.0,4469.22,1.9,DebitCard
133,2025-01-11,1082,2080,403,0.0,1281.2,15.9,Cash
134,2025-03-19,1090,2039,404,0.0,1791.85,2.3,CreditCard
135,2025-01-11,1023,2064,404,0.0,1629.14,1.6,GiftCard
136,2025-01-15,1121,2007,404,2.0,214.44,23.0,GiftCard
137,2025-01-12,1032,2067,402,2.0,1560.21,10.2,PayPal
138,2025-01-28,1089,2019,404,1.0,3122.33,3.4,GiftCard
139,2024-07-29,1167,2050,402,0.0,784.52,10.0,DebitCard
140,2025-03-17,1171,2094,401,3.0,85.55,26.0,GiftCard
141,2024-10-04,1087,2062,402,1.0,626.79,14.6,CreditCard
142,2025-03-15,1138,2067,401,1.0,350.79,0.3,CreditCard
143,2024-08-15,1159,2021,404,,1453.19,24.8,GiftCard
144,2025-05-22,1192,2057,402,2.0,1579.52,19.2,CreditCard
145,2025-04-28,1032,2036,404,3.0,1642.94,26.7,GiftCard
146,2025-03-21,1020,2091,403,0.0,2821.59,23.3,GiftCard
147,2024-07-22,1116,2097,402,0.0,1499.17,17.3,PayPal
148,2024-11-19,1006,2050,403,0.0,104.97,16.8,CreditCard
149,2025-05-08,1166,2029,402,,76.14,11.7,GiftCard
150,2025-04-01,1120,2000,401,,341.56,15.6,DebitCard
151,2025-05-10,1108,2041,402,0.0,3375.28,29.5,GiftCard
152,2025-01-02,1032,2002,402,2.0,1248.88,11.4,GiftCard
153,2024-09-07,1170,2067,403,,1039.29,23.2,DebitCard
154,2025-05-28,1099,2005,404,2.0,746.33,6.2,Cash
155,2024-06-29,1066,2094,403,2.0,1636.34,26.6,Cash
156,2024-08-12,1118,2061,402,0.0,1890.03,7.0,GiftCard
157,2024-06-16,1071,2040,403,3.0,115.46,10.3,GiftCard
158,2024-08-18,1199,2054,403,2.0,2300.1,15.3,GiftCard
